User ID,Gender,Age,EstimatedSalary,Purchased
15540239,Female,18,116000,0
15586943,Male,43,15000,0
15695815,Female,54,28000,1
15604363,Female,23,83000,1
15546862,Female,43,44000,0
15594298,Female,24,25000,1
15633380,Male,57,123000,1
15571964,Male,33,73000,0
15632324,Female,36,37000,0
15592060,Male,47,88000,0
15596274,Male,36,59000,0
15538332,Female,19,86000,0
15510556,Female,44,149000,0
15502264,Female,43,21000,0
15505889,Male,44,72000,1
15671802,Female,41,35000,0
15528125,Male,29,89000,0
15620783,Male,55,86000,0
15597803,Female,46,80000,1
15540860,Female,26,71000,1
15669793,Female,56,71000,0
15669817,Male,19,61000,0
15601423,Male,26,55000,1
15651854,Male,25,80000,1
15660314,Male,32,57000,1
15557404,Male,30,75000,1
15660071,Male,51,52000,0
15660200,Male,50,59000,1
15651085,Male,43,59000,1
15561255,Female,47,75000,1
15576582,Male,32,72000,1
15522924,Female,57,75000,1
15579384,Male,28,53000,1
15562528,Female,41,51000,0
15503836,Female,53,61000,1
15623107,Male,55,65000,1
15527164,Male,30,32000,0
15551790,Male,47,17000,0
15699590,Female,49,84000,0
15684950,Male,35,58000,0
15548586,Male,50,31000,1
15682279,Male,58,87000,1
15672996,Female,45,68000,1
15516525,Female,22,55000,0
15538159,Male,36,63000,0
15621531,Female,32,82000,0
15680349,Male,21,107000,1
15699628,Female,39,59000,0
15562439,Male,47,25000,0
15608785,Male,47,85000,0
15555564,Female,25,68000,1
15655281,Male,51,59000,0
15697852,Male,22,89000,1
15529356,Female,24,25000,1
15600794,Female,46,89000,1
15695326,Female,59,96000,1
15502829,Female,42,30000,1
15536788,Male,27,61000,1
15589377,Male,47,74000,0
15685085,Female,48,15000,1
15532651,Male,41,45000,1
15566404,Male,26,76000,1
15618773,Female,34,50000,1
15589522,Male,34,47000,0
15651713,Female,55,15000,1
15532333,Male,29,59000,1
15551571,Male,57,75000,0
15690399,Male,36,30000,1
15680670,Female,28,135000,1
15687433,Male,48,100000,0
15677010,Male,22,90000,0
15628790,Female,20,33000,0
15640245,Male,51,38000,0
15537542,Female,26,69000,0
15622686,Female,50,86000,0
15690721,Female,21,55000,1
15541916,Female,37,71000,0
15586461,Male,24,148000,1
15599707,Female,39,47000,1
15610483,Male,23,88000,0
15606900,Male,51,115000,0
15671926,Female,53,118000,1
15508795,Female,46,43000,1
15579182,Female,55,72000,0
15655573,Female,32,28000,1
15587563,Female,40,47000,1
15600470,Male,45,22000,0
15546369,Male,43,23000,1
15688697,Female,48,34000,1
15651772,Male,34,16000,0
15669008,Female,26,71000,1
15517871,Female,46,117000,0
15657967,Male,23,43000,1
15576464,Female,35,60000,1
15546426,Male,30,66000,0
15518235,Female,45,82000,1
15658350,Female,48,41000,1
15636491,Male,32,72000,1
15545900,Male,48,32000,0
15537474,Male,45,84000,0
15644639,Female,21,26000,0
15647664,Male,23,43000,0
15560527,Male,34,70000,1
15598670,Male,22,89000,1
15541986,Male,47,43000,1
15541261,Female,32,79000,0
15555670,Female,24,36000,1
15512932,Male,45,80000,0
15510674,Male,35,22000,0
15563119,Male,57,39000,1
15698977,Male,26,74000,1
15605886,Female,27,134000,1
15586546,Female,27,71000,1
15699236,Female,57,101000,1
15529918,Female,20,47000,1
15695640,Female,55,130000,1
15517985,Female,48,114000,1
15607444,Female,58,142000,1
15597764,Female,48,22000,1
15656752,Female,28,96000,0
15651877,Male,27,150000,1
15521229,Female,37,42000,1
15602076,Male,25,58000,0
15677906,Male,54,43000,0
15613561,Female,35,108000,1
15549066,Male,60,65000,1
15664866,Male,59,78000,0
15572556,Female,42,96000,1
15692682,Male,40,143000,0
15640573,Female,24,80000,1
15610053,Male,30,91000,0
15612887,Male,33,144000,0
15666725,Male,30,102000,1
15567117,Female,32,60000,0
15516724,Male,34,53000,0
15571983,Female,28,126000,0
15548999,Male,28,133000,0
15563862,Female,29,72000,0
15641839,Female,26,80000,0
15532433,Female,30,147000,0
15612149,Male,21,42000,1
15636793,Male,50,107000,1
15585093,Male,34,86000,0
15529703,Female,54,112000,0
15659056,Male,39,79000,0
15529829,Male,22,57000,1
15584902,Female,33,80000,0
15538367,Female,47,82000,0
15696582,Female,44,143000,0
15513176,Male,21,149000,1
15586040,Male,25,59000,1
15675601,Female,56,88000,1
15601891,Female,26,104000,1
15524935,Female,33,72000,0
15610105,Female,28,146000,1
15643637,Female,39,50000,1
15626733,Female,37,122000,1
15560889,Male,19,52000,0
15619495,Female,37,97000,1
15502456,Female,58,39000,0
15622250,Male,26,52000,0
15654820,Female,49,134000,0
15566256,Female,28,146000,1
15664785,Female,43,44000,1
15565922,Female,48,90000,1
15528737,Female,23,72000,1
15613481,Male,35,57000,0
15525012,Female,57,95000,0
15544761,Female,23,131000,0
15678999,Female,24,77000,0
15651148,Male,40,144000,1
15545165,Female,35,125000,0
15610672,Female,21,72000,1
15611576,Male,19,90000,1
15544255,Female,32,108000,1
15692601,Male,53,75000,0
15612554,Male,56,74000,0
15526582,Female,26,144000,0
15654584,Male,27,61000,0
15646889,Female,42,133000,1
15640343,Female,32,76000,0
15579796,Male,52,42000,0
15570983,Male,57,106000,1
15668400,Female,47,26000,0
15562197,Male,31,74000,0
15583749,Male,49,71000,0
15682355,Male,39,88000,1
15676274,Female,40,38000,0
15533895,Female,19,36000,1
15560919,Female,30,88000,1
15557661,Male,51,61000,0
15691478,Male,19,70000,1
15529524,Female,25,21000,1
15611772,Male,27,141000,0
15518748,Female,26,93000,1
15622256,Female,48,62000,1
15638168,Female,24,138000,0
15656459,Male,31,79000,1
15512555,Female,27,78000,1
15515116,Male,49,134000,1
15600940,Male,18,89000,0
15561538,Male,39,39000,1
15545941,Male,49,77000,1
15677860,Female,27,57000,0
15675387,Female,21,63000,1
15573753,Male,40,73000,0
15610724,Female,34,112000,1
15616517,Male,21,79000,0
15678250,Male,36,117000,1
15602800,Female,24,38000,0
15635189,Male,25,74000,0
15661343,Female,27,137000,1
15523813,Male,59,79000,1
15594147,Female,25,60000,1
15621807,Male,47,54000,1
15693779,Female,37,134000,0
15588851,Female,45,113000,0
15684652,Male,50,125000,1
15657048,Female,34,50000,1
15522288,Female,21,70000,0
15521829,Male,34,96000,0
15551516,Female,53,50000,0
15632145,Female,25,141000,0
15620415,Female,24,79000,0
15607946,Female,35,75000,1
15641195,Female,26,104000,1
15693590,Male,48,55000,0
15641518,Male,52,32000,1
15522987,Male,31,60000,1
15683976,Female,38,138000,1
15580373,Female,46,82000,1
15558301,Male,54,52000,1
15509959,Female,48,30000,0
15628444,Female,36,131000,0
15535970,Female,41,60000,0
15524091,Male,21,72000,0
15543036,Female,40,75000,1
15615365,Male,22,118000,1
15622658,Female,54,107000,0
15578925,Male,28,51000,0
15675257,Female,18,119000,0
15511386,Male,54,65000,1
15567428,Male,26,65000,1
15675498,Male,45,60000,0
15554312,Female,60,54000,1
15558702,Male,38,144000,1
15548340,Male,27,79000,0
15630276,Female,29,55000,0
15695773,Male,49,122000,0
15581383,Female,19,104000,1
15612084,Male,30,75000,1
15639432,Female,26,65000,1
15698051,Female,20,51000,1
15694424,Male,48,105000,1
15664201,Female,58,63000,1
15672906,Male,23,72000,0
15538340,Female,42,108000,0
15517124,Male,20,77000,0
15601511,Male,51,61000,0
15639747,Female,44,113000,1
15643874,Male,22,75000,1
15686213,Female,43,90000,0
15644554,Female,54,57000,1
15660085,Male,32,99000,1
15657558,Male,18,34000,0
15691472,Male,34,70000,0
15645884,Female,59,72000,0
15674730,Male,54,71000,1
15516068,Male,46,54000,1
15588476,Male,40,129000,1
15534140,Female,51,34000,1
15521486,Female,54,50000,0
15559950,Female,46,79000,0
15502022,Male,50,104000,1
15528617,Female,22,29000,0
15542989,Female,34,47000,1
15543061,Male,59,88000,0
15526491,Male,50,71000,1
15593108,Female,28,26000,0
15661736,Female,56,46000,0
15678663,Male,51,83000,0
15658741,Female,60,73000,1
15585148,Male,47,130000,0
15658086,Female,18,80000,1
15688008,Female,37,32000,1
15627224,Female,44,74000,0
15668676,Female,40,53000,0
15507360,Male,25,87000,1
15653408,Female,48,23000,0
15550773,Male,33,64000,0
15562821,Male,32,33000,1
15614225,Female,57,139000,1
15663660,Male,51,28000,1
15600445,Female,58,33000,0
15559500,Male,35,60000,1
15567175,Female,18,39000,0
15509953,Male,41,71000,1
15564017,Male,23,34000,1
15526015,Female,54,35000,1
15593119,Male,37,33000,1
15553988,Male,18,23000,0
15687521,Female,36,45000,1
15602955,Male,34,42000,1
15522276,Female,27,59000,1
15694296,Female,23,41000,0
15552802,Male,37,23000,0
15534942,Female,50,20000,1
15511673,Male,27,33000,1
15612988,Female,30,36000,1
